RANK,FILE,SCORE,TIME,MOVES
2,3,3,899.999514,34
4,7,0,898.993696,44
5,6,-6,897.990789,41
4,1,0,899.999625,34
2,3,-3,898.992741,44
5,1,-3,899.99951,34
3,2,0,898.9941110000001,44
5,4,-3,897.9910320000001,52
3,4,0,896.9863570000001,54
7,3,-24,896.4843410000001,44
6,2,-8,895.9814030000001,46
7,2,-8,895.097302,46
5,3,-3,895.096231,46
6,0,-7,895.095145,46
4,7,0,895.094025,46
1,2,-18,899.999648,34
0,6,-14,898.995097,44
4,4,-1,897.99033,49
7,3,15,897.4887060000001,44
2,4,0,896.9867320000001,44
3,1,-3,895.982782,44
2,2,-2,894.9791399999999,49
4,2,6,893.9766589999999,50
4,1,6,892.972975,52
5,5,-3,899.999515,34
2,0,2,898.9927220000001,44
1,4,33,897.9889350000001,52
7,4,-33,896.9863200000001,49
3,1,3,895.982024,56
3,2,0,894.979175,44
3,0,0,899.99966,34
0,6,-14,898.994792,44
3,6,-3,897.99125,52
1,4,-33,896.9870040000001,52
2,1,-6,895.983244,52
3,5,0,899.999529,34
3,0,0,898.9946100000001,44
7,1,-14,897.9900090000001,52
0,6,11,896.987449,49
3,5,3,895.984556,50
6,1,-14,894.981919,56
4,4,0,893.9783549999999,56
3,4,12,893.4757199999999,62
2,7,2,892.9728289999999,61
5,6,3,899.999642,34
5,7,2,898.9940760000001,44
1,4,-36,897.991253,52
3,1,0,896.987752,52
4,4,-4,895.983618,49
4,4,-3,895.4805279999999,44
4,4,-1,894.476549,46
3,4,-13,893.973563,48
0,4,-12,893.471213,59
5,3,-3,899.999529,34
5,3,-3,898.994417,44
4,4,-3,897.990033,41
4,0,0,896.985044,49
4,4,-3,895.9809700000001,42
3,3,-6,895.4782950000001,52
7,2,-8,894.9765560000001,48
3,3,6,893.971889,54
4,7,-3,892.966945,51
0,2,8,891.963169,58
1,2,13,890.960213,61
2,3,10,890.458227,57
3,4,-7,889.955837,54
3,4,8,889.4534719999999,63
4,2,-6,888.451069,61
3,6,1,887.447635,59
7,7,-6,886.444073,52
5,5,-1,885.941836,51
2,5,1,884.9382049999999,37
1,6,6,884.435821,36
0,7,-9,884.434896,31
3,7,1,884.051431,31
1,7,-8,884.049786,31
1,3,25,884.04875,31
7,4,2,884.0476990000001,31
6,4,-1,884.046643,31
6,7,-6,884.045649,31
7,7,-6,884.0446440000001,31
3,0,0,884.0437160000001,31
1,7,-8,884.0427970000001,31
6,5,2,884.0418410000001,31
2,4,1,884.0408840000001,31
7,7,-6,884.0399310000001,31
4,3,-6,884.0389660000002,31
1,6,-7,884.0379960000001,31
2,6,2,884.0370070000001,31
1,4,6,884.0360130000001,31
2,1,2,884.0349410000001,31
6,1,-25,884.0338,31
0,6,-8,884.0328770000001,31
0,7,-9,884.0313300000001,31
6,3,-23,884.0303140000001,31
1,7,-8,884.0291960000001,31
5,2,-7,884.0274780000001,31
4,4,-3,884.0259320000001,31
4,0,0,884.0245630000002,31
5,3,-6,884.0234570000001,31
6,7,-6,884.0223810000001,31
2,1,2,884.0213430000001,31
4,1,-3,884.0199130000001,31
1,4,6,884.0187870000001,31
0,0,2,884.0176739999999,31
5,3,-6,884.0165780000001,31
6,2,-27,884.015097,31
4,5,0,884.013729,31
7,6,-7,884.012375,31
6,3,-23,884.0112280000001,31
5,5,-1,884.010024,31
3,1,0,884.0089220000001,31
6,2,-27,884.007784,31
2,6,2,884.0066280000001,31
0,0,2,884.005508,31
4,0,0,884.004334,31
2,3,0,884.003198,31
3,4,0,884.002057,31
7,1,-22,884.000887,31
7,7,-6,883.999708,31
4,0,0,883.9985660000001,31
3,2,0,883.9969140000001,31
2,0,2,883.9955040000001,31
0,1,22,883.994265,31
5,2,-7,883.992912,31
0,1,22,883.9916710000001,31
1,2,26,883.9904660000001,31
0,6,-8,883.9882680000001,31
0,6,-8,883.986664,31
6,4,-1,883.9854330000001,31
4,5,0,883.9842,31
1,7,-8,883.98294,31
2,3,0,883.981687,31
4,3,-6,883.9804399999999,31
7,5,2,883.979189,31
3,2,0,883.9778379999999,31
5,5,-1,883.9761229999999,31
7,5,2,883.9747379999999,31
5,5,-1,883.9734769999999,31
5,5,-1,883.9710489999999,31
3,1,0,883.969491,31
2,0,2,883.968207,31
6,3,-23,883.966789,31
6,4,-1,883.965431,31
3,3,0,883.9640929999999,31
1,7,-8,883.9627909999998,31
3,7,1,883.9614889999998,31
4,7,0,883.9601419999998,31
2,0,2,883.9588079999997,31
2,0,2,883.9569119999998,31
3,6,1,883.9548189999998,31
4,3,-6,883.9527349999998,31
7,5,2,883.9513039999997,31
2,6,2,883.9499149999997,31
6,2,-27,883.9485579999997,31
2,0,2,883.9471599999997,31
7,0,-2,883.9457779999997,31
4,6,0,883.9443719999997,31
0,4,6,883.9429909999997,31
0,1,22,883.9415799999997,31
7,7,-6,883.9401869999997,31
5,5,-1,883.9387739999996,31
1,4,6,883.9365749999997,31
7,1,-22,883.9346639999997,31
1,4,6,883.9332499999996,31
0,6,-8,883.9317989999996,31
3,4,0,883.9303949999996,31
3,2,0,883.9281789999997,31
7,3,-17,883.9266349999996,31
6,0,-2,883.9251889999996,31
2,4,1,883.9237289999995,31
4,2,-6,883.9222539999996,31
